code_x,country,displayAffiliation,displayName,displayNameEn,dob,draftYear,experience,firstInitial,firstName,firstNameEn,height,jerseyNo,lastName,lastNameEn,leagueId_x,playerId,position,schoolType,weight,abbr,city,cityEn,code_y,conference,displayAbbr,displayConference,division,id,isAllStarTeam,isLeagueTeam,leagueId_y,name,nameEn
tony_allen,美国,Oklahoma State/United States,托尼 艾伦,Tony Allen,379573200000,2004,13,托尼,托尼,Tony,1.93,24,艾伦,Allen,00,2754,后卫-前锋,College,96.6 公斤,NOP,新奥尔良,New Orleans,pelicans,Western,鹈鹕,西部,西南分区,1610612740,False,True,00,鹈鹕,Pelicans
al-farouq_aminu,美国,Wake Forest/United States,艾尔-法鲁克 阿米奴,Al-Farouq Aminu,653889600000,2010,7,艾尔-法鲁克,艾尔-法鲁克,Al-Farouq,2.06,8,阿米奴,Aminu,00,202329,前锋,College,99.8 公斤,POR,波特兰,Portland,blazers,Western,开拓者,西部,西北分区,1610612757,False,True,00,开拓者,Trail Blazers
justin_anderson,美国,Virginia/United States,贾斯汀 安德森,Justin Anderson,753685200000,2015,2,贾斯汀,贾斯汀,Justin,1.98,1,安德森,Anderson,00,1626147,后卫-前锋,College,104.3 公斤,PHI,费城,Philadelphia,sixers,Eastern,76人,东部,大西洋分区,1610612755,False,True,00,76人,Sixers
kyle_anderson,美国,UCLA/United States,凯尔 安德森,Kyle Anderson,748497600000,2014,3,凯尔,凯尔,Kyle,2.06,1,安德森,Anderson,00,203937,前锋,College,104.3 公斤,SAS,圣安东尼奥,San Antonio,spurs,Western,马刺,西部,西南分区,1610612759,False,True,00,马刺,Spurs
ryan_anderson,美国,California/United States,莱恩 安德森,Ryan Anderson,578894400000,2008,9,莱恩,莱恩,Ryan,2.08,33,安德森,Anderson,00,201583,前锋,College,108.9 公斤,HOU,休斯顿,Houston,rockets,Western,火箭,西部,西南分区,1610612745,False,True,00,火箭,Rockets
ike_anigbogu,美国,California-Los Angeles/United States,埃克 安尼博古,Ike Anigbogu,908510400000,2017,0,埃克,埃克,Ike,2.08,13,安尼博古,Anigbogu,00,1628387,中锋,College,118.8 公斤,IND,印第安纳,Indiana,pacers,Eastern,步行者,东部,中央分区,1610612754,False,True,00,步行者,Pacers
giannis_antetokounmpo,希腊,Greece/Greece,扬尼斯 安特托昆博,Giannis Antetokounmpo,786690000000,2013,4,扬尼斯,扬尼斯,Giannis,2.11,34,安特托昆博,Antetokounmpo,00,203507,前锋,Country,100.7 公斤,MIL,密尔沃基,Milwaukee,bucks,Eastern,雄鹿,东部,中央分区,1610612749,False,True,00,雄鹿,Bucks
carmelo_anthony,美国,Syracuse/United States,卡梅隆 安东尼,Carmelo Anthony,454651200000,2003,14,卡梅隆,卡梅隆,Carmelo,2.03,7,安东尼,Anthony,00,2546,前锋,College,108.9 公斤,OKC,俄克拉荷马城,Oklahoma City,thunder,Western,雷霆,西部,西北分区,1610612760,False,True,00,雷霆,Thunder
og_anunoby,英国,Indiana/United Kingdom,OG 安纳诺比,OG Anunoby,869112000000,2017,0,OG,OG,OG,2.03,3,安纳诺比,Anunoby,00,1628384,前锋,College,106.6 公斤,TOR,多伦多,Toronto,raptors,Eastern,猛龙,东部,大西洋分区,1610612761,False,True,00,猛龙,Raptors
ryan_arcidiacono,美国,Villanova/United States,莱恩 阿什迪亚克诺,Ryan Arcidiacono,764658000000,2016,0,莱恩,莱恩,Ryan,1.90,15,阿什迪亚克诺,Arcidiacono,00,1627853,后卫,College,88.5 公斤,CHI,芝加哥,Chicago,bulls,Eastern,公牛,东部,中央分区,1610612741,False,True,00,公牛,Bulls
trevor_ariza,美国,UCLA/United States,特雷沃 阿里扎,Trevor Ariza,488952000000,2004,13,特雷沃,特雷沃,Trevor,2.03,1,阿里扎,Ariza,00,2772,前锋-后卫,College,97.5 公斤,HOU,休斯顿,Houston,rockets,Western,火箭,西部,西南分区,1610612745,False,True,00,火箭,Rockets
darrell_arthur,美国,Kansas/United States,达雷尔 亚瑟,Darrell Arthur,575269200000,2008,8,达雷尔,达雷尔,Darrell,2.06,00,亚瑟,Arthur,00,201589,前锋,College,106.6 公斤,DEN,丹佛,Denver,nuggets,Western,掘金,西部,西北分区,1610612743,False,True,00,掘金,Nuggets
jamel_artis,美国,Pittsburgh/United States,贾迈尔 阿蒂斯,Jamel Artis,726814800000,2017,0,贾迈尔,贾迈尔,Jamel,2.01,0,阿蒂斯,Artis,00,1628503,后卫,College,96.6 公斤,ORL,奥兰多,Orlando,magic,Eastern,魔术,东部,东南分区,1610612753,False,True,00,魔术,Magic
omer_asik,土耳其,Turkey/Turkey,欧米尔 阿西克,Omer Asik,520833600000,2008,7,欧米尔,欧米尔,Omer,2.13,3,阿西克,Asik,00,201600,中锋,Country,115.7 公斤,CHI,芝加哥,Chicago,bulls,Eastern,公牛,东部,中央分区,1610612741,False,True,00,公牛,Bulls
d.j._augustin,美国,Texas/United States,D.J. 奥古斯汀,D.J. Augustin,563518800000,2008,9,D.J.,D.J.,D.J.,1.83,14,奥古斯汀,Augustin,00,201571,后卫,College,83.0 公斤,ORL,奥兰多,Orlando,magic,Eastern,魔术,东部,东南分区,1610612753,False,True,00,魔术,Magic
luke_babbitt,美国,Nevada/United States,卢克 巴比特,Luke Babbitt,614318400000,2010,7,卢克,卢克,Luke,2.06,22,巴比特,Babbitt,00,202337,前锋,College,102.1 公斤,MIA,迈阿密,Miami,heat,Eastern,热火,东部,东南分区,1610612748,False,True,00,热火,Heat
dwayne_bacon,美国,Florida State/United States,德维恩 培根,Dwayne Bacon,809755200000,2017,0,德维恩,德维恩,Dwayne,2.01,7,培根,Bacon,00,1628407,前锋,College,100.2 公斤,CHA,夏洛特,Charlotte,hornets,Eastern,黄蜂,东部,东南分区,1610612766,False,True,00,黄蜂,Hornets
ron_baker,美国,Wichita State/United States,罗恩 贝克,Ron Baker,733467600000,2016,1,罗恩,罗恩,Ron,1.93,31,贝克,Baker,00,1627758,后卫,College,99.8 公斤,NYK,纽约,New York,knicks,Eastern,尼克斯,东部,大西洋分区,1610612752,False,True,00,尼克斯,Knicks
wade_baldwin iv,美国,Vanderbilt/United States,韦德 鲍德温四世,Wade Baldwin IV,828075600000,2016,1,韦德,韦德,Wade,1.93,2,鲍德温四世,Baldwin IV,00,1627735,后卫,College,91.6 公斤,POR,波特兰,Portland,blazers,Western,开拓者,西部,西北分区,1610612757,False,True,00,开拓者,Trail Blazers
lonzo_ball,美国,California-Los Angeles/United States,朗佐 鲍尔,Lonzo Ball,877928400000,2017,0,朗佐,朗佐,Lonzo,1.98,2,鲍尔,Ball,00,1628366,后卫,College,86.2 公斤,LAL,洛杉矶,Los Angeles,lakers,Western,湖人,西部,太平洋分区,1610612747,False,True,00,湖人,Lakers
j.j._barea,波多黎各,Northeastern/Puerto Rico,J.J. 巴里亚,J.J. Barea,457070400000,2006,11,J.J.,J.J.,J.J.,1.83,5,巴里亚,Barea,00,200826,后卫,College,83.9 公斤,DAL,达拉斯,Dallas,mavericks,Western,独行侠,西部,西南分区,1610612742,False,True,00,独行侠,Mavericks
harrison_barnes,美国,North Carolina/United States,哈里森 巴恩斯,Harrison Barnes,707198400000,2012,5,哈里森,哈里森,Harrison,2.03,40,巴恩斯,Barnes,00,203084,前锋,College,102.1 公斤,DAL,达拉斯,Dallas,mavericks,Western,独行侠,西部,西南分区,1610612742,False,True,00,独行侠,Mavericks
will_barton,美国,Memphis/United States,威尔 巴顿,Will Barton,663138000000,2012,5,威尔,威尔,Will,1.98,5,巴顿,Barton,00,203115,前锋-后卫,College,86.2 公斤,DEN,丹佛,Denver,nuggets,Western,掘金,西部,西北分区,1610612743,False,True,00,掘金,Nuggets
nicolas_batum,法国,"Lisieux, France/France",尼古拉斯 巴图姆,Nicolas Batum,598078800000,2008,9,尼古拉斯,尼古拉斯,Nicolas,2.03,5,巴图姆,Batum,00,201587,后卫-前锋,Country,90.7 公斤,CHA,夏洛特,Charlotte,hornets,Eastern,黄蜂,东部,东南分区,1610612766,False,True,00,黄蜂,Hornets
jerryd_bayless,美国,Arizona/United States,杰里 贝勒斯,Jerryd Bayless,588052800000,2008,9,杰里,杰里,Jerryd,1.90,0,贝勒斯,Bayless,00,201573,后卫,College,90.7 公斤,PHI,费城,Philadelphia,sixers,Eastern,76人,东部,大西洋分区,1610612755,False,True,00,76人,Sixers
aron_baynes,澳洲,Washington State/Australia,阿隆 贝恩斯,Aron Baynes,534488400000,2009,5,阿隆,阿隆,Aron,2.08,46,贝恩斯,Baynes,00,203382,中锋,College,117.9 公斤,BOS,波士顿,Boston,celtics,Eastern,凯尔特人,东部,大西洋分区,1610612738,False,True,00,凯尔特人,Celtics
kent_bazemore,美国,Old Dominion/United States,肯特 贝兹莫尔,Kent Bazemore,615268800000,2012,5,肯特,肯特,Kent,1.96,24,贝兹莫尔,Bazemore,00,203145,后卫,College,91.2 公斤,ATL,亚特兰大,Atlanta,hawks,Eastern,老鹰,东部,东南分区,1610612737,False,True,00,老鹰,Hawks
bradley_beal,美国,Florida/United States,布拉德利  比尔,Bradley Beal,741240000000,2012,5,布拉德利 ,布拉德利 ,Bradley,1.96,3,比尔,Beal,00,203078,后卫,College,93.9 公斤,WAS,华盛顿,Washington,wizards,Eastern,奇才,东部,东南分区,1610612764,False,True,00,奇才,Wizards
malik_beasley,美国,Florida State/United States,马利克 比斯利,Malik Beasley,848984400000,2016,1,马利克,马利克,Malik,1.96,25,比斯利,Beasley,00,1627736,后卫,College,88.9 公斤,DEN,丹佛,Denver,nuggets,Western,掘金,西部,西北分区,1610612743,False,True,00,掘金,Nuggets
michael_beasley,美国,Kansas State/United States,迈克尔 比斯利,Michael Beasley,600325200000,2008,9,迈克尔,迈克尔,Michael,2.06,8,比斯利,Beasley,00,201563,前锋,College,106.6 公斤,NYK,纽约,New York,knicks,Eastern,尼克斯,东部,大西洋分区,1610612752,False,True,00,尼克斯,Knicks
marco_belinelli,意大利,"Bologna, Italy/Italy",马尔科 贝里内利,Marco Belinelli,512110800000,2007,10,马尔科,马尔科,Marco,1.96,18,贝里内利,Belinelli,00,201158,后卫-前锋,Country,95.3 公斤,PHI,费城,Philadelphia,sixers,Eastern,76人,东部,大西洋分区,1610612755,False,True,00,76人,Sixers
jordan_bell,美国,Oregon/United States,乔丹 贝尔,Jordan Bell,789454800000,2017,0,乔丹,乔丹,Jordan,2.06,2,贝尔,Bell,00,1628395,中锋-前锋,College,101.6 公斤,GSW,金州,Golden State,warriors,Western,勇士,西部,太平洋分区,1610612744,False,True,00,勇士,Warriors
deandre'_bembry,美国,Saint Joseph's/United States,DeAndre' 本布里,DeAndre' Bembry,773294400000,2016,1,DeAndre',DeAndre',DeAndre',1.98,95,本布里,Bembry,00,1627761,前锋-后卫,College,95.3 公斤,ATL,亚特兰大,Atlanta,hawks,Eastern,老鹰,东部,东南分区,1610612737,False,True,00,老鹰,Hawks
dragan_bender,克罗地亚,Croatia,德拉甘 本德尔,Dragan Bender,879742800000,2016,1,德拉甘,德拉甘,Dragan,2.16,35,本德尔,Bender,00,1627733,前锋,,102.1 公斤,PHX,菲尼克斯,Phoenix,suns,Western,太阳,西部,太平洋分区,1610612756,False,True,00,太阳,Suns
davis_bertans,拉脱维亚,Latvia,戴维斯 贝尔坦斯,Davis Bertans,721544400000,2011,1,戴维斯,戴维斯,Davis,2.08,42,贝尔坦斯,Bertans,00,202722,中锋-前锋,,95.3 公斤,SAS,圣安东尼奥,San Antonio,spurs,Western,马刺,西部,西南分区,1610612759,False,True,00,马刺,Spurs
patrick_beverley,美国,Arkansas/United States,帕特里克 贝弗利,Patrick Beverley,584683200000,2009,5,帕特里克,帕特里克,Patrick,1.85,21,贝弗利,Beverley,00,201976,后卫,College,83.9 公斤,LAC,洛杉矶,LA,clippers,Western,快船,西部,太平洋分区,1610612746,False,True,00,快船,Clippers
khem_birch,加拿大,Nevada-Las Vegas/Canada,肯姆 博奇,Khem Birch,717652800000,0,0,肯姆,肯姆,Khem,2.06,24,博奇,Birch,00,203920,中锋,College,99.8 公斤,ORL,奥兰多,Orlando,magic,Eastern,魔术,东部,东南分区,1610612753,False,True,00,魔术,Magic
jabari_bird,美国,California/United States,贾巴里 伯德,Jabari Bird,773208000000,2017,0,贾巴里,贾巴里,Jabari,1.98,26,伯德,Bird,00,1628444,后卫,College,89.8 公斤,BOS,波士顿,Boston,celtics,Eastern,凯尔特人,东部,大西洋分区,1610612738,False,True,00,凯尔特人,Celtics
bismack_biyombo,刚果民主共和国,"Lubumbashi, DR Congo/Democratic Republic of the Congo",俾斯麦 比永博,Bismack Biyombo,714974400000,2011,6,俾斯麦,俾斯麦,Bismack,2.06,11,比永博,Biyombo,00,202687,中锋,Country,115.7 公斤,ORL,奥兰多,Orlando,magic,Eastern,魔术,东部,东南分区,1610612753,False,True,00,魔术,Magic
nemanja_bjelica,塞尔维亚,Serbia,内马尼亚 别利察,Nemanja Bjelica,579153600000,2010,2,内马尼亚,内马尼亚,Nemanja,2.08,8,别利察,Bjelica,00,202357,前锋,,104.3 公斤,MIN,明尼苏达,Minnesota,timberwolves,Western,森林狼,西部,西北分区,1610612750,False,True,00,森林狼,Timberwolves
tarik_black,美国,Kansas/United States,塔里克 布莱克,Tarik Black,690786000000,2014,3,塔里克,塔里克,Tarik,2.06,28,布莱克,Black,00,204028,前锋-中锋,College,113.4 公斤,HOU,休斯顿,Houston,rockets,Western,火箭,西部,西南分区,1610612745,False,True,00,火箭,Rockets
antonio_blakeney,美国,Louisiana State/United States,安东尼奥 布雷克尼,Antonio Blakeney,844401600000,2017,0,安东尼奥,安东尼奥,Antonio,1.93,9,布雷克尼,Blakeney,00,1628469,后卫,College,89.4 公斤,CHI,芝加哥,Chicago,bulls,Eastern,公牛,东部,中央分区,1610612741,False,True,00,公牛,Bulls
eric_bledsoe,美国,Kentucky/United States,埃里克 布莱德索,Eric Bledsoe,629182800000,2010,7,埃里克,埃里克,Eric,1.85,6,布莱德索,Bledsoe,00,202339,后卫,College,93.0 公斤,MIL,密尔沃基,Milwaukee,bucks,Eastern,雄鹿,东部,中央分区,1610612749,False,True,00,雄鹿,Bucks
vander_blue,美国,Marquette/United States,范德 布鲁,Vander Blue,711345600000,2013,2,范德,范德,Vander,1.96,17,布鲁,Blue,00,203505,后卫,College,90.7 公斤,LAL,洛杉矶,Los Angeles,lakers,Western,湖人,西部,太平洋分区,1610612747,False,True,00,湖人,Lakers
bogdan_bogdanovic,塞尔维亚,Serbia,博格丹 博格丹诺维奇,Bogdan Bogdanovic,714110400000,2014,0,博格丹,博格丹,Bogdan,1.98,8,博格丹诺维奇,Bogdanovic,00,203992,后卫,,93.0 公斤,SAC,萨克拉门托,Sacramento,kings,Western,国王,西部,太平洋分区,1610612758,False,True,00,国王,Kings
bojan_bogdanovic,克罗地亚,Croatia,博扬 博格丹诺维奇,Bojan Bogdanovic,608875200000,2011,3,博扬,博扬,Bojan,2.03,44,博格丹诺维奇,Bogdanovic,00,202711,前锋,None,104.3 公斤,IND,印第安纳,Indiana,pacers,Eastern,步行者,东部,中央分区,1610612754,False,True,00,步行者,Pacers
andrew_bogut,澳洲,Utah/Australia,安德鲁 博古特,Andrew Bogut,470466000000,2005,12,安德鲁,安德鲁,Andrew,2.13,66,博古特,Bogut,00,101106,中锋,College,117.9 公斤,LAL,洛杉矶,Los Angeles,lakers,Western,湖人,西部,太平洋分区,1610612747,False,True,00,湖人,Lakers
devin_booker,美国,Kentucky/United States,德文 布克,Devin Booker,846651600000,2015,2,德文,德文,Devin,1.98,1,布克,Booker,00,1626164,后卫,College,95.3 公斤,PHX,菲尼克斯,Phoenix,suns,Western,太阳,西部,太平洋分区,1610612756,False,True,00,太阳,Suns
trevor_booker,美国,Clemson/United States,特雷沃 布克,Trevor Booker,564814800000,2010,7,特雷沃,特雷沃,Trevor,2.03,20,布克,Booker,00,202344,前锋,College,103.4 公斤,IND,印第安纳,Indiana,pacers,Eastern,步行者,东部,中央分区,1610612754,False,True,00,步行者,Pacers
chris_boucher,加拿大,Oregon/Canada,克里斯 布歇,Chris Boucher,726728400000,2017,0,克里斯,克里斯,Chris,2.08,25,布歇,Boucher,00,1628449,前锋,College,90.7 公斤,GSW,金州,Golden State,warriors,Western,勇士,西部,太平洋分区,1610612744,False,True,00,勇士,Warriors
avery_bradley,美国,Texas/United States,埃弗里 布拉德利,Avery Bradley,659595600000,2010,7,埃弗里,埃弗里,Avery,1.88,11,布拉德利,Bradley,00,202340,后卫,College,81.6 公斤,LAC,洛杉矶,LA,clippers,Western,快船,西部,太平洋分区,1610612746,False,True,00,快船,Clippers
tony_bradley,美国,North Carolina/United States,托尼 布拉德利,Tony Bradley,884235600000,2017,0,托尼,托尼,Tony,2.08,13,布拉德利,Bradley,00,1628396,中锋,College,112.5 公斤,UTA,犹他,Utah,jazz,Western,爵士,西部,西北分区,1610612762,False,True,00,爵士,Jazz
corey_brewer,美国,Florida/United States,科里 布鲁尔,Corey Brewer,510382800000,2007,10,科里,科里,Corey,2.06,3,布鲁尔,Brewer,00,201147,后卫-前锋,College,84.4 公斤,OKC,俄克拉荷马城,Oklahoma City,thunder,Western,雷霆,西部,西北分区,1610612760,False,True,00,雷霆,Thunder
malcolm_brogdon,美国,Virginia/United States,马尔科姆 布罗格登,Malcolm Brogdon,724050000000,2016,1,马尔科姆,马尔科姆,Malcolm,1.96,13,布罗格登,Brogdon,00,1627763,后卫,College,97.5 公斤,MIL,密尔沃基,Milwaukee,bucks,Eastern,雄鹿,东部,中央分区,1610612749,False,True,00,雄鹿,Bucks
aaron_brooks,美国,Oregon/United States,阿隆 布鲁克斯,Aaron Brooks,474526800000,2007,9,阿隆,阿隆,Aaron,1.83,30,布鲁克斯,Brooks,00,201166,后卫,College,73.0 公斤,MIN,明尼苏达,Minnesota,timberwolves,Western,森林狼,西部,西北分区,1610612750,False,True,00,森林狼,Timberwolves
dillon_brooks,加拿大,Oregon/Canada,狄龙 布鲁克斯,Dillon Brooks,822286800000,2017,0,狄龙,狄龙,Dillon,1.98,24,布鲁克斯,Brooks,00,1628415,前锋-后卫,College,99.8 公斤,MEM,孟菲斯,Memphis,grizzlies,Western,灰熊,西部,西南分区,1610612763,False,True,00,灰熊,Grizzlies
marshon_brooks,美国,Providence/United States,马肖恩 布鲁克斯,MarShon Brooks,601794000000,2011,3,马肖恩,马肖恩,MarShon,1.96,8,布鲁克斯,Brooks,00,202705,后卫-前锋,College,90.7 公斤,MEM,孟菲斯,Memphis,grizzlies,Western,灰熊,西部,西南分区,1610612763,False,True,00,灰熊,Grizzlies
anthony_brown,美国,Stanford/United States,安东尼 布朗,Anthony Brown,718689600000,2015,2,安东尼,安东尼,Anthony,2.01,3,布朗,Brown,00,1626148,前锋,College,101.6 公斤,MIN,明尼苏达,Minnesota,timberwolves,Western,森林狼,西部,西北分区,1610612750,False,True,00,森林狼,Timberwolves
jaylen_brown,美国,California/United States,杰伦 布朗,Jaylen Brown,846129600000,2016,1,杰伦,杰伦,Jaylen,2.01,7,布朗,Brown,00,1627759,后卫-前锋,College,102.1 公斤,BOS,波士顿,Boston,celtics,Eastern,凯尔特人,东部,大西洋分区,1610612738,False,True,00,凯尔特人,Celtics
lorenzo_brown,美国,North Carolina State/United States,洛伦佐 布朗,Lorenzo Brown,651643200000,2013,3,洛伦佐,洛伦佐,Lorenzo,1.96,4,布朗,Brown,00,203485,后卫,College,85.7 公斤,TOR,多伦多,Toronto,raptors,Eastern,猛龙,东部,大西洋分区,1610612761,False,True,00,猛龙,Raptors
markel_brown,美国,Oklahoma State/United States,马克尔 布朗,Markel Brown,696661200000,2014,2,马克尔,马克尔,Markel,1.90,26,布朗,Brown,00,203900,后卫,College,86.2 公斤,HOU,休斯顿,Houston,rockets,Western,火箭,西部,西南分区,1610612745,False,True,00,火箭,Rockets
sterling_brown,美国,Southern Methodist/United States,斯特林 布朗,Sterling Brown,792392400000,2017,0,斯特林,斯特林,Sterling,1.98,23,布朗,Brown,00,1628425,后卫,College,104.3 公斤,MIL,密尔沃基,Milwaukee,bucks,Eastern,雄鹿,东部,中央分区,1610612749,False,True,00,雄鹿,Bucks
nicolas_brussino,阿根廷,Argentina,尼古拉斯 布鲁西诺,Nicolas Brussino,731048400000,2015,1,尼古拉斯,尼古拉斯,Nicolas,2.03,16,布鲁西诺,Brussino,00,1627852,前锋,,88.5 公斤,ATL,亚特兰大,Atlanta,hawks,Eastern,老鹰,东部,东南分区,1610612737,False,True,00,老鹰,Hawks
thomas_bryant,美国,Indiana/United States,托马斯 布莱恩特,Thomas Bryant,870321600000,2017,0,托马斯,托马斯,Thomas,2.08,31,布莱恩特,Bryant,00,1628418,中锋,College,112.5 公斤,LAL,洛杉矶,Los Angeles,lakers,Western,湖人,西部,太平洋分区,1610612747,False,True,00,湖人,Lakers
reggie_bullock,美国,North Carolina/United States,雷吉 布洛克,Reggie Bullock,669099600000,2013,4,雷吉,雷吉,Reggie,2.01,25,布洛克,Bullock,00,203493,后卫-前锋,College,93.0 公斤,DET,底特律,Detroit,pistons,Eastern,活塞,东部,中央分区,1610612765,False,True,00,活塞,Pistons
trey_burke,美国,Michigan/United States,特雷 伯克,Trey Burke,721544400000,2013,4,特雷,特雷,Trey,1.85,23,伯克,Burke,00,203504,后卫,College,86.6 公斤,NYK,纽约,New York,knicks,Eastern,尼克斯,东部,大西洋分区,1610612752,False,True,00,尼克斯,Knicks
alec_burks,美国,Colorado/United States,亚历克 伯克斯,Alec Burks,679982400000,2011,6,亚历克,亚历克,Alec,1.98,10,伯克斯,Burks,00,202692,后卫,College,97.1 公斤,UTA,犹他,Utah,jazz,Western,爵士,西部,西北分区,1610612762,False,True,00,爵士,Jazz
jimmy_butler,美国,Marquette/United States,吉米 巴特勒,Jimmy Butler,621748800000,2011,6,吉米,吉米,Jimmy,2.03,23,巴特勒,Butler,00,202710,后卫,College,107.0 公斤,MIN,明尼苏达,Minnesota,timberwolves,Western,森林狼,西部,西北分区,1610612750,False,True,00,森林狼,Timberwolves
dwight_buycks,美国,Marquette/United States,德怀特 白克斯,Dwight Buycks,605163600000,2011,2,德怀特,德怀特,Dwight,1.90,20,白克斯,Buycks,00,202779,后卫,College,86.2 公斤,DET,底特律,Detroit,pistons,Eastern,活塞,东部,中央分区,1610612765,False,True,00,活塞,Pistons
bruno_caboclo,巴西,Brazil,布鲁诺 卡波科洛,Bruno Caboclo,811656000000,2014,3,布鲁诺,布鲁诺,Bruno,2.06,22,卡波科洛,Caboclo,00,203998,前锋,None,93.0 公斤,SAC,萨克拉门托,Sacramento,kings,Western,国王,西部,太平洋分区,1610612758,False,True,00,国王,Kings
jose_calderon,西班牙,"Villanueva de la Serena, Spain/Spain",何塞 卡尔德隆,Jose Calderon,370497600000,2003,12,何塞,何塞,Jose,1.90,81,卡尔德隆,Calderon,00,101181,后卫,Country,90.7 公斤,CLE,克利夫兰,Cleveland,cavaliers,Eastern,骑士,东部,中央分区,1610612739,False,True,00,骑士,Cavaliers
kentavious_caldwell-pope,美国,Georgia/United States,肯塔维奥斯 考德威尔-波普,Kentavious Caldwell-Pope,730011600000,2013,4,肯塔维奥斯,肯塔维奥斯,Kentavious,1.96,1,考德威尔-波普,Caldwell-Pope,00,203484,后卫,College,93.0 公斤,LAL,洛杉矶,Los Angeles,lakers,Western,湖人,西部,太平洋分区,1610612747,False,True,00,湖人,Lakers
isaiah_canaan,美国,Murray State/United States,以赛亚 迦南,Isaiah Canaan,674798400000,2013,4,以赛亚,以赛亚,Isaiah,1.83,2,迦南,Canaan,00,203477,后卫,College,91.2 公斤,PHX,菲尼克斯,Phoenix,suns,Western,太阳,西部,太平洋分区,1610612756,False,True,00,太阳,Suns
clint_capela,瑞士,Switzerland,克林特 卡佩拉,Clint Capela,769233600000,2014,3,克林特,克林特,Clint,2.08,15,卡佩拉,Capela,00,203991,中锋,None,108.9 公斤,HOU,休斯顿,Houston,rockets,Western,火箭,西部,西南分区,1610612745,False,True,00,火箭,Rockets
